feature,gain,weight,cover
zone_cause_interaction_grouped_west zone 2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_airport new south road_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_airport new south road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_bannerghata road_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_bannerghata road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_bannerghata road_water_logging,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 1_accident,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 1_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 1_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 1_water_logging,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 2_accident,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 2_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_bellary road 2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_cbd 2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_hennur main road_congestion,0.0,0.0,0.0
corridor_cause_interaction_grouped_hennur main road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_hosur road_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_hosur road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_irr(thanisandra road)_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_irr(thanisandra road)_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_magadi road_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_magadi road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_mysore road_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_mysore road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_mysore road_water_logging,0.0,0.0,0.0
has_accident_word,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_congestion,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_procession,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_public_event,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_road_conditions,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_tree_fall,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_non-corridor_water_logging,0.0,0.0,0.0
corridor_cause_interaction_grouped_old airport road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_old madras road_pot_holes,0.0,0.0,0.0
has_breakdown_word,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr east 1_pot_holes,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr east 1_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr east 1_water_logging,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr east 2_construction,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr east 2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr north 1_construction,0.0,0.0,0.0
