feature,ensemble_importance,lgb_importance,xgb_importance
corridor_grouped_old_madras_road,1.6660100221633911,3.3320200443267822,0.0
zone_grouped_north_zone_2,1.6644400358200073,3.3288800716400146,0.0
zone_grouped_other_rare,1.5421665906906128,0.0,3.0843331813812256
cause_peak_interaction_grouped_accident_morning_peak,1.450101613998413,0.0,2.900203227996826
cause_heavy_vehicle_interaction_grouped_congestion_heavy_0,1.4393205642700195,0.0,2.878641128540039
cause_peak_interaction_grouped_vehicle_breakdown_off_peak,1.3667200803756714,0.0,2.7334401607513428
cause_peak_interaction_grouped_pot_holes_off_peak,1.3355903625488281,0.0,2.6711807250976562
event_cause_corridor_grouped_road_conditions_non-corridor,1.3208441734313965,0.0,2.641688346862793
corridor_cause_interaction_grouped_tumkur road_vehicle_breakdown,1.3095977306365967,0.0,2.6191954612731934
start_day_name_saturday,1.3028301000595093,0.0,2.6056602001190186
junction_grouped_other_rare,1.2503334283828735,0.0,2.500666856765747
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_1,1.223468542098999,0.0,2.446937084197998
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_0,1.1604318618774414,0.0,2.320863723754883
start_day_name_friday,1.1517163515090942,0.0,2.3034327030181885
corridor_cause_interaction_grouped_old madras road_vehicle_breakdown,1.1509437561035156,0.0,2.3018875122070312
cause_peak_interaction_grouped_vehicle_breakdown_night,1.1346911191940308,0.0,2.2693822383880615
event_cause_corridor_grouped_vehicle_breakdown_old madras road,1.1026818752288818,0.0,2.2053637504577637
corridor_grouped_tumkur road,1.002759337425232,0.0,2.005518674850464
corridor_cause_interaction_grouped_other_rare,0.9731295704841614,0.0,1.9462591409683228
corridor_peak_interaction_grouped_bellary road 2_morning_peak,0.9666468501091003,0.0,1.9332937002182007
is_night,0.9003887176513672,0.0,1.8007774353027344
police_station_grouped_vijayanagara,0.894317626953125,0.0,1.78863525390625
police_station_grouped_yeshwanthpura,0.8659859299659729,0.0,1.7319718599319458
start_month_2023-12,0.8124904632568359,0.0,1.6249809265136719
corridor_peak_interaction_grouped_orr east 1_off_peak,0.8002236485481262,0.0,1.6004472970962524
corridor_peak_interaction_grouped_non-corridor_off_peak,0.7713348865509033,0.0,1.5426697731018066
zone_grouped_central zone 1,0.7654528021812439,0.0,1.5309056043624878
corridor_peak_interaction_grouped_tumkur road_night,0.74566650390625,0.0,1.4913330078125
event_cause_corridor_grouped_accident_non-corridor,0.7288140654563904,0.0,1.4576281309127808
corridor_cause_interaction_grouped_non-corridor_tree_fall,0.7202460169792175,0.0,1.440492033958435
police_station_grouped_hal old airport,0.7200589179992676,0.0,1.4401178359985352
corridor_cause_interaction_grouped_non-corridor_accident,0.6824151277542114,0.0,1.3648302555084229
corridor_cause_interaction_grouped_bellary_road_1_vehicle_breakdown,0.6283599734306335,1.256719946861267,0.0
start_day_name_thursday,0.5703740119934082,0.0,1.1407480239868164
zone_grouped_north zone 1,0.5198891162872314,0.0,1.039778232574463
corridor_cause_interaction_grouped_non-corridor_construction,0.4974246025085449,0.0,0.9948492050170898
start_month_2024-02,0.4763152599334717,0.0,0.9526305198669434
corridor_grouped_orr_east_1,0.44506800174713135,0.8901360034942627,0.0
zone_grouped_central zone 2,0.43007421493530273,0.0,0.8601484298706055
