iter	TotalF1	MultiClass
481	0.8093621189	0.5074254568
482	0.8084030022	0.5070751466
483	0.8105411056	0.5066745869
484	0.8100847624	0.5062219745
485	0.8099446229	0.5059028746
486	0.811665954	0.5056134086
487	0.8111239701	0.5054179323
488	0.8111239701	0.505078896
489	0.8125395678	0.5048266769
490	0.8121375087	0.5044396018
491	0.8121375087	0.5039750589
492	0.8124565178	0.5037921647
493	0.8125931728	0.5035222602
494	0.8137854446	0.5032085284
495	0.8148921134	0.5029951529
496	0.815224252	0.5026374164
497	0.8143666366	0.5022645191
498	0.8145856562	0.5019140822
499	0.8140474183	0.5016533154
500	0.8138127404	0.501326419
501	0.8144362534	0.501077435
502	0.8147696882	0.5008042292
503	0.8145489475	0.5006041182
504	0.8147696882	0.5003399457
505	0.8147848541	0.5001445999
506	0.8154222376	0.4999875134
507	0.8173879664	0.4998396056
508	0.8168497405	0.4995566712
509	0.8173038536	0.4992142585
510	0.8173038536	0.4990079525
511	0.8162123108	0.4986045793
512	0.817168324	0.4981556641
513	0.8168371122	0.4980144527
514	0.8170723348	0.4976120134
515	0.8170723348	0.4974811785
516	0.8173911678	0.4973363427
517	0.815674169	0.49683929
518	0.8168371122	0.4964064162
519	0.8173753931	0.4962449709
520	0.8178430801	0.495821065
521	0.818716611	0.4954853852
522	0.8184577806	0.4950702347
523	0.819990676	0.494765785
524	0.8205303124	0.4942732271
525	0.821388331	0.4939116745
526	0.8210575674	0.4937307585
527	0.8201136401	0.4934381085
528	0.8192557597	0.4930716098
529	0.8189369031	0.4926172031
530	0.8194757706	0.4923832866
531	0.8209715188	0.492076241
532	0.8209715188	0.4916408953
533	0.8216091056	0.4914611656
534	0.8212903557	0.4912516688
535	0.8221482667	0.4910126049
536	0.8222326495	0.4906010017
537	0.8222326495	0.4904470156
538	0.8216927288	0.4903630201
539	0.8220111661	0.4900741293
540	0.8220111661	0.4897896367
541	0.822785747	0.4894346899
542	0.8231043579	0.4891797306
543	0.8222463459	0.4887435149
544	0.8225648373	0.4885757354
545	0.8226872737	0.4883517863
546	0.8226872737	0.4882605765
547	0.8226872737	0.4879559688
548	0.8223682835	0.4876706932
549	0.8226872737	0.4875686696
550	0.8226752145	0.4873806294
551	0.8242926632	0.4870025471
552	0.8248320592	0.486860965
553	0.8253713038	0.4865815734
554	0.8250656171	0.4862111123
555	0.8250656171	0.4861258207
556	0.8245268557	0.4859641371
557	0.8253842388	0.4857102993
558	0.8260330514	0.4853542949
559	0.8260330514	0.4851864108
560	0.8257147084	0.4849941741
561	0.8265974822	0.4847876128
562	0.8272338026	0.4845401609
563	0.8262791949	0.4840895327
564	0.8265974822	0.4838041587
565	0.827149694	0.4835519696
566	0.8276875258	0.4830116182
567	0.8282120777	0.4826733366
568	0.8285306286	0.4825262464
569	0.8282252119	0.4819497803
570	0.8287627545	0.4818250347
571	0.8282376531	0.4815289908
572	0.8277127301	0.4810986716
573	0.8277127301	0.4809811418
574	0.8282376531	0.4805352131
575	0.8277000185	0.4804485704
576	0.8282376531	0.4800621647
577	0.8290936387	0.4796447201
578	0.8312672938	0.4793114037
579	0.8327848573	0.4790080155
580	0.8322481169	0.4788621784
581	0.8322481169	0.4787891633
582	0.8325924237	0.4786938862
583	0.8317112426	0.478394698
584	0.8322485453	0.4781093094
585	0.8320044693	0.4775778489
586	0.8326408652	0.4774331846
587	0.8343760149	0.4771661083
588	0.8347060785	0.4770271685
589	0.8350114206	0.4768455634
590	0.835341079	0.4766702729
591	0.8346939736	0.4761620516
592	0.8354616891	0.4758629657
593	0.8332025267	0.4753404671
594	0.8343882285	0.4751244462
595	0.8350114206	0.4745855498
596	0.8347915319	0.4742520168
597	0.8344859671	0.4738886543
598	0.8345114446	0.4734388892
599	0.8359287937	0.4732579939
600	0.8353921816	0.4731619158
601	0.8348164225	0.4728810335
602	0.835341079	0.4725429363
603	0.8345952276	0.4723179665
604	0.8345952276	0.472243324
605	0.8358633126	0.4719902388
606	0.8352175268	0.4716808088
607	0.8355346168	0.4714737321
608	0.8355346168	0.4713066007
609	0.8355464124	0.4711047783
610	0.8353369041	0.4710175846
611	0.8355584292	0.4707864285
612	0.8349246053	0.4706154323
613	0.8362052554	0.4703987278
614	0.8372821582	0.4701368092
615	0.8382855125	0.4698345012
616	0.8382855125	0.4697425262
617	0.8386027178	0.4692446848
618	0.8397731716	0.4690526694
619	0.8409436044	0.4687960415
620	0.8400891882	0.4684132046
621	0.842552121	0.4680173769
622	0.842332997	0.4677233336
623	0.8429671248	0.4675347563
624	0.8429671248	0.4673797366
625	0.8438207982	0.4669212073
626	0.843503748	0.4667047644
627	0.8437345486	0.4663985015
628	0.8440516729	0.4661437735
629	0.8445988566	0.4658323318
630	0.8454635311	0.4656093809
631	0.8448292815	0.4654540156
632	0.8439764559	0.4653443047
633	0.8443798879	0.4650693113
634	0.8444887971	0.4648091797
635	0.8436237577	0.4646782598
636	0.8430868916	0.4644016076
637	0.8443916249	0.4640627346
638	0.8440747481	0.4637320809
639	0.8447084227	0.4635061728
640	0.8447084227	0.463070848
641	0.8444772338	0.4627232865
642	0.8458896493	0.4624351637
643	0.8458896493	0.4621254876
644	0.8455612928	0.4618861605
645	0.8464256536	0.4616025344
646	0.8457918906	0.4612960644
647	0.8461088112	0.4610140686
648	0.8464256536	0.4606863679
649	0.8476061346	0.4603958826
650	0.8467540211	0.4600568494
651	0.8473870983	0.4596232766
652	0.8463029855	0.4594497065
653	0.8469467378	0.4589587727
654	0.8484423996	0.4586592307
655	0.8484423996	0.4584676212
656	0.8475899691	0.4583598589
657	0.8481043024	0.4580642883
658	0.8487471671	0.4579463376
659	0.8477772556	0.4577850051
660	0.8500299385	0.4574401689
661	0.8508928744	0.4571373889
662	0.8508928744	0.4570147691
663	0.8512091468	0.4568323472
664	0.850989053	0.4565912648
665	0.8513155645	0.4564043276
666	0.8523987316	0.456101255
667	0.852714657	0.4557741609
668	0.8521678802	0.455371244
669	0.8541027334	0.4551661861
670	0.8537762301	0.4547527922
671	0.8540923886	0.4545436934
672	0.8549651599	0.4541902295
673	0.8549651599	0.4537967865
674	0.854208748	0.4535482721
675	0.854208748	0.4531446217
676	0.8545243661	0.4530720799
677	0.8544291654	0.4527551135
678	0.8544291654	0.4526856624
679	0.8547449533	0.4525153508
680	0.8544187065	0.45227759
681	0.8544187065	0.4521073719
682	0.8547449533	0.4519041184
683	0.8544291654	0.4516044051
684	0.8532507295	0.4512190284
685	0.8535881322	0.4510300168
686	0.853903785	0.4508054583
687	0.853903785	0.4507421121
688	0.853903785	0.4504195787
689	0.8542193643	0.4502314291
690	0.8548503044	0.4499837283
691	0.8559125936	0.4497350628
692	0.8566480602	0.4494498496
693	0.8574999496	0.4494057139
694	0.8569732471	0.4491823985
695	0.8578246128	0.4489031155
696	0.8578246128	0.4487521315
697	0.8580456925	0.4486076589
698	0.857834673	0.448377631
699	0.8583709491	0.4482903551
700	0.8581496345	0.4481358289
701	0.8580558231	0.4479057165
702	0.8589173152	0.4477296878
703	0.8582870289	0.4475007442
704	0.8580661809	0.4473530393
705	0.8572150516	0.4472161303
706	0.8586961375	0.4470130604
707	0.8576233662	0.4468098149
708	0.8572982815	0.4466979614
709	0.8576233662	0.4464873046
710	0.8573086118	0.4461666271
711	0.8567721456	0.4461135264
712	0.8574117707	0.445878862
713	0.8570868051	0.4457113857
714	0.8567617724	0.4454072165
715	0.8574013953	0.4450471204
716	0.8573086118	0.444787396
717	0.8569937873	0.4444915016
718	0.8569937873	0.4443185878
719	0.8593359486	0.4440073839
720	0.8593359486	0.4437813829
721	0.8587994755	0.443521221
722	0.8602796048	0.4433361987
723	0.8605016665	0.443107768
724	0.8605016665	0.4427570094
725	0.8617692032	0.4423112342
726	0.8613527668	0.4419045611
727	0.8613527668	0.441787233
728	0.8629344579	0.4416242508
729	0.8631475334	0.4412129076
730	0.8640905898	0.4410192482
731	0.8644048092	0.4409690286
732	0.8646458863	0.4405694958
733	0.8640080029	0.4403250616
734	0.864322331	0.4401575672
735	0.864322331	0.4399759072
736	0.8640080029	0.4398331161
737	0.864322331	0.4395825556
738	0.864322331	0.4394209936
739	0.8648683971	0.4393402576
740	0.8633791444	0.4390949262
741	0.8639987103	0.4388251049
742	0.8640080029	0.4386196962
743	0.8640175244	0.4383592202
744	0.8634808478	0.4381154259
745	0.8642397213	0.4379288504
746	0.864220761	0.4377780607
747	0.8640175244	0.4376005253
748	0.8636936075	0.4373270544
749	0.8640272747	0.4369294346
750	0.8639352175	0.4367178815
751	0.8633888926	0.4364619588
752	0.8637032424	0.4363425348
753	0.8642495444	0.4362226247
754	0.8651002256	0.4359888302
755	0.8642495444	0.435808787
756	0.8656365448	0.4355168445
757	0.8642495444	0.4351424746
758	0.8656365448	0.4349713761
759	0.8667088815	0.4345614939
760	0.8661727627	0.4344946628
761	0.8661727627	0.4344603741
762	0.8661727627	0.4342208677
763	0.8663942674	0.434107624
764	0.8670234268	0.4339291413
765	0.8681885963	0.4337668835
766	0.8677536226	0.4334486449
767	0.8674301839	0.4332541355
768	0.8672170043	0.4331269636
769	0.8674395495	0.4328609219
770	0.8676617522	0.4325877123
771	0.8679759798	0.4325259927
772	0.8679759798	0.432295247
773	0.8682901401	0.4319562256
774	0.8688265588	0.4316505496
775	0.8688265588	0.4315620136
776	0.8682901401	0.4312755872
777	0.8682901401	0.431088556
778	0.868067629	0.4307662158
779	0.868067629	0.4306205849
780	0.8686042334	0.4303520634
781	0.868067629	0.4300964152
782	0.8675309235	0.4298879527
783	0.8675309235	0.429784603
784	0.8675309235	0.4295870916
785	0.8672170043	0.4293519927
786	0.8678540698	0.4290827675
787	0.8683983119	0.4289013611
788	0.8694613674	0.4286211084
789	0.8700893003	0.4284900723
790	0.8700893003	0.4282863557
791	0.8700893003	0.4280446538
792	0.8700893003	0.4279124452
793	0.8700893003	0.4276074902
794	0.8709395323	0.4274407809
795	0.8712623046	0.4269379543
796	0.8715760136	0.4265290291
797	0.872112411	0.4263821667
798	0.8729713351	0.4261693216
799	0.8732849682	0.4260884141
