feature,importance
corridor_peak_interaction_grouped_bellary road 2_off_peak,0.0013194213
corridor_peak_interaction_grouped_bellary road 1_off_peak,0.0013182121
junction_grouped_yeshwanthpuracircle,0.0012903281
corridor_peak_interaction_grouped_hosur road_off_peak,0.0012900546
corridor_peak_interaction_grouped_tumkur road_morning_peak,0.001276976
police_station_grouped_bellandur,0.0012719228
corridor_peak_interaction_grouped_bellary road 2_morning_peak,0.0012706303
event_cause_corridor_grouped_vehicle_breakdown_west of chord road,0.0012531298
zone_cause_interaction_grouped_west zone 2_vehicle_breakdown,0.0012064838
corridor_peak_interaction_grouped_magadi road_night,0.001204963
zone_cause_interaction_grouped_east zone 2_others,0.0011923366
corridor_peak_interaction_grouped_old airport road_morning_peak,0.0011897869
police_station_grouped_magadi road,0.001183003
zone_cause_interaction_grouped_south zone 1_vehicle_breakdown,0.0011539445
corridor_cause_interaction_grouped_west of chord road_vehicle_breakdown,0.001152197
cause_peak_interaction_grouped_other_rare,0.001143345
corridor_cause_interaction_grouped_bellary road 1_others,0.0011097441
zone_cause_interaction_grouped_unknown_construction,0.0011055657
corridor_peak_interaction_grouped_orr north 2_morning_peak,0.0010891086
junction_grouped_sattelitebusstandjunc,0.0010803341
zone_grouped_south zone 1,0.0010657009
event_cause_corridor_grouped_vehicle_breakdown_hosur road,0.0010573668
junction_grouped_toll gate mysore road,0.0010506811
corridor_cause_interaction_grouped_old madras road_vehicle_breakdown,0.0010460292
corridor_grouped_varthur road,0.0009779705
zone_cause_interaction_grouped_north zone 1_vehicle_breakdown,0.00094685593
event_cause_grouped_water_logging,0.0009375096
event_cause_corridor_grouped_vehicle_breakdown_varthur road,0.00093225733
police_station_grouped_sadashivanagar,0.0009303445
corridor_peak_interaction_grouped_orr north 1_morning_peak,0.0009276059
police_station_grouped_wilson garden,0.00092267484
corridor_peak_interaction_grouped_magadi road_off_peak,0.0008983726
location_grid_grouped_13.014_77.584,0.0008288319
corridor_peak_interaction_grouped_orr west 1_night,0.00082689436
cause_heavy_vehicle_interaction_grouped_construction_heavy_0,0.00081991294
police_station_grouped_hulimavu,0.0008163158
event_cause_corridor_grouped_vehicle_breakdown_cbd 2,0.0008053222
police_station_grouped_chikkajala,0.0007509935
zone_grouped_east zone 1,0.00067112356
corridor_grouped_cbd 2,0.0006466831
corridor_cause_interaction_grouped_non-corridor_construction,0.0003803725
junction_grouped_gokuldasimagesjunc,0.0
cause_heavy_vehicle_interaction_grouped_public_event_heavy_0,0.0
corridor_cause_interaction_grouped_non-corridor_tree_fall,0.0
junction_grouped_cmp gatejunc,0.0
is_two_wheeler,0.0
corridor_grouped_irr(thanisandra road),0.0
corridor_cause_interaction_grouped_non-corridor_road_conditions,0.0
corridor_cause_interaction_grouped_mysore road_water_logging,0.0
has_cargo_material,0.0
cause_heavy_vehicle_interaction_grouped_tree_fall_heavy_0,0.0
corridor_cause_interaction_grouped_non-corridor_pot_holes,0.0
junction_grouped_devasandra(k r puram),0.0
corridor_cause_interaction_grouped_non-corridor_congestion,0.0
corridor_cause_interaction_grouped_non-corridor_accident,0.0
cause_heavy_vehicle_interaction_grouped_other_rare,0.0
corridor_cause_interaction_grouped_varthur road_vehicle_breakdown,0.0
junction_grouped_ayyappatemplejunc,0.0
corridor_cause_interaction_grouped_orr east 1_pot_holes,0.0
junction_grouped_bigbazaarjunction(oldmadrasrd),0.0
corridor_cause_interaction_grouped_orr east 2_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_orr north 1_construction,0.0
corridor_cause_interaction_grouped_orr east 1_water_logging,0.0
corridor_cause_interaction_grouped_orr east 1_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_orr north 1_others,0.0
corridor_cause_interaction_grouped_orr north 1_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_orr north 2_congestion,0.0
has_emergency_word,0.0
junction_grouped_bagalurcrossjunc,0.0
corridor_cause_interaction_grouped_orr north 2_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_orr west 1_vehicle_breakdown,0.0
junction_grouped_bel circle,0.0
corridor_cause_interaction_grouped_old madras road_pot_holes,0.0
corridor_cause_interaction_grouped_tumkur road_others,0.0
corridor_cause_interaction_grouped_tumkur road_vehicle_breakdown,0.0
corridor_cause_interaction_grouped_old airport road_vehicle_breakdown,0.0
junction_grouped_bommanahalli,0.0
corridor_grouped_cbd 1,0.0
corridor_peak_interaction_grouped_cbd 2_off_peak,0.0
cause_heavy_vehicle_interaction_grouped_vip_movement_heavy_0,0.0
police_station_grouped_no police station,0.0
corridor_peak_interaction_grouped_orr east 2_off_peak,0.0
police_station_grouped_k.r. pura,0.0
corridor_peak_interaction_grouped_orr north 1_off_peak,0.0
police_station_grouped_k.g. halli,0.0
corridor_peak_interaction_grouped_orr north 2_off_peak,0.0
corridor_grouped_orr north 2,0.0
corridor_peak_interaction_grouped_varthur road_night,0.0
corridor_peak_interaction_grouped_varthur road_off_peak,0.0
corridor_peak_interaction_grouped_west of chord road_morning_peak,0.0
police_station_grouped_hsr layout,0.0
corridor_grouped_other_rare,0.0
police_station_grouped_hebbala,0.0
cargo_material_grouped_goods,0.0
cargo_material_grouped_goods carried,0.0
cargo_material_grouped_other_rare,0.0
police_station_grouped_devanahalli airport,0.0
start_day_name_unknown,0.0
police_station_grouped_city market,0.0
police_station_grouped_chikkabanavara,0.0
has_start_location,0.0
valid_start_coordinate,0.0
start_month_2024-04,0.0
start_month_unknown,0.0
police_station_grouped_kengeri,0.0
corridor_peak_interaction_grouped_old madras road_off_peak,0.0
cause_heavy_vehicle_interaction_grouped_water_logging_heavy_0,0.0
police_station_grouped_pulikeshinagar(f.town),0.0
has_accident_word,0.0
corridor_peak_interaction_grouped_airport new south road_off_peak,0.0
corridor_peak_interaction_grouped_bannerghata road_morning_peak,0.0
corridor_peak_interaction_grouped_bannerghata road_night,0.0
corridor_peak_interaction_grouped_bannerghata road_off_peak,0.0
police_station_grouped_vijayanagara,0.0
corridor_peak_interaction_grouped_cbd 2_morning_peak,0.0
corridor_cause_interaction_grouped_magadi road_vehicle_breakdown,0.0
corridor_peak_interaction_grouped_hennur main road_morning_peak,0.0
corridor_peak_interaction_grouped_hennur main road_night,0.0
corridor_peak_interaction_grouped_hennur main road_off_peak,0.0
corridor_peak_interaction_grouped_hosur road_morning_peak,0.0
corridor_peak_interaction_grouped_hosur road_night,0.0
corridor_peak_interaction_grouped_irr(thanisandra road)_morning_peak,0.0
corridor_peak_interaction_grouped_irr(thanisandra road)_night,0.0
corridor_peak_interaction_grouped_irr(thanisandra road)_off_peak,0.0
police_station_grouped_v.v.puram (c.pet),0.0
report_lag_is_negative,0.0
police_station_grouped_thalagattapura,0.0
police_station_grouped_shivajinagar,0.0
corridor_peak_interaction_grouped_non-corridor_evening_peak,0.0
police_station_grouped_r.t. nagar,0.0
corridor_peak_interaction_grouped_old airport road_night,0.0
corridor_cause_interaction_grouped_mysore road_others,0.0
corridor_cause_interaction_grouped_bellary road 2_accident,0.0
corridor_cause_interaction_grouped_magadi road_others,0.0
cause_peak_interaction_grouped_congestion_morning_peak,0.0
event_cause_corridor_grouped_vehicle_breakdown_orr west 1,0.0
truck_age_band_grouped_new,0.0
event_cause_corridor_grouped_water_logging_bannerghata road,0.0
event_cause_corridor_grouped_water_logging_bellary road 1,0.0
truck_age_band_grouped_mid,0.0
location_grid_grouped_13.045_77.583,0.0
event_cause_corridor_grouped_water_logging_orr east 1,0.0
location_grid_grouped_13.038_77.626,0.0
peak_period_night,0.0
location_grid_grouped_12.999_77.584,0.0
veh_type_grouped_auto,0.0
location_grid_grouped_12.97_77.701,0.0
